seq	trim_left	trim_right	primer_type
S-0562_oECA1271_ssu_pcr_1	18	5	ssu_pcr_1
S-0415_oECA1271_ssu_pcr_1	21	1	ssu_pcr_1
S-0530_oECA1271_ssu_pcr_1	25	7	ssu_pcr_1
S-0503_oECA1271_ssu_pcr_1	18	3	ssu_pcr_1
S-0551_oECA1271_ssu_pcr_1	21	1	ssu_pcr_1
S-0511_oECA1271_ssu_pcr_1	38	12	ssu_pcr_1
S-0499_oECA1271_ssu_pcr_1	16	6	ssu_pcr_1
S-0575_oECA1271_ssu_pcr_1	22	3	ssu_pcr_1
S-0402_oECA1271_ssu_pcr_1	12	26	ssu_pcr_1
S-0567_oECA1271_ssu_pcr_1	25	5	ssu_pcr_1
S-0417_oECA1271_ssu_pcr_1	27	3	ssu_pcr_1
S-0535_oECA1271_ssu_pcr_1	10	6	ssu_pcr_1
S-0608_oECA1271_ssu_pcr_1	10	4	ssu_pcr_1
S-0517_oECA1271_ssu_pcr_1	17	0	ssu_pcr_1
S-0505_oECA1271_ssu_pcr_1	19	1	ssu_pcr_1
S-0550_oECA1271_ssu_pcr_1	29	3	ssu_pcr_1
S-0502_oECA1271_ssu_pcr_1	9	4	ssu_pcr_1
S-0557_oECA1271_ssu_pcr_1	18	7	ssu_pcr_1
S-0638_oECA1271_ssu_pcr_1	0	13	ssu_pcr_1
S-0534_oECA1271_ssu_pcr_1	16	1	ssu_pcr_1
S-0561_oECA1271_ssu_pcr_1	21	5	ssu_pcr_1
S-0599_oECA1271_ssu_pcr_1	9	11	ssu_pcr_1
S-0533_oECA1271_ssu_pcr_1	15	2	ssu_pcr_1
S-0566_oECA1271_ssu_pcr_1	15	2	ssu_pcr_1
S-0609_oECA1271_ssu_pcr_1	12	0	ssu_pcr_1
S-0404_oECA1271_ssu_pcr_1	8	5	ssu_pcr_1
S-0403_oECA1271_ssu_pcr_1	6	8	ssu_pcr_1
S-0574_oECA1271_ssu_pcr_1	23	16	ssu_pcr_1
S-0611_oECA1271_ssu_pcr_1	9	0	ssu_pcr_1
S-0616_oECA1271_ssu_pcr_1	16	7	ssu_pcr_1
S-0593_oECA1271_ssu_pcr_1	23	6	ssu_pcr_1
S-0656_oECA1271_ssu_pcr_1	30	2	ssu_pcr_1
S-0603_oECA1271_ssu_pcr_1	17	2	ssu_pcr_1
S-0651_oECA1271_ssu_pcr_1	0	2	ssu_pcr_1
S-0604_oECA1271_ssu_pcr_1	30	11	ssu_pcr_1
S-0632_oECA1271_ssu_pcr_1	18	2	ssu_pcr_1
S-0660_oECA1271_ssu_pcr_1	25	1	ssu_pcr_1
S-0635_oECA1271_ssu_pcr_1	14	25	ssu_pcr_1
S-0627_oECA1271_ssu_pcr_1	11	3	ssu_pcr_1
S-0595_oECA1271_ssu_pcr_1	20	10	ssu_pcr_1
S-0538_oECA1271_ssu_pcr_1	13	0	ssu_pcr_1
S-0650_oECA1271_ssu_pcr_1	22	3	ssu_pcr_1
S-0602_oECA1271_ssu_pcr_1	29	1	ssu_pcr_1
S-0642_oECA1271_ssu_pcr_1	13	4	ssu_pcr_1
S-0610_oECA1271_ssu_pcr_1	19	1	ssu_pcr_1
S-0493_oECA1271_ssu_pcr_1	12	2	ssu_pcr_1
S-0626_oECA1271_ssu_pcr_1	20	2	ssu_pcr_1
S-0481_oECA1271_ssu_pcr_1	11	1	ssu_pcr_1
S-0634_oECA1271_ssu_pcr_1	33	7	ssu_pcr_1
S-0633_oECA1271_ssu_pcr_1	0	6	ssu_pcr_1
S-0645_oECA1271_E09_ssu_pcr_2	18	3	ssu_pcr_2
S-0887_oECA1271_H06_ssu_pcr_2	32	1	ssu_pcr_2
S-0849_oECA1271_G03_ssu_pcr_2	16	3	ssu_pcr_2
S-0891_oECA1271_C07_ssu_pcr_2	16	13	ssu_pcr_2
S-0861_oECA1271_H04_ssu_pcr_2	26	3	ssu_pcr_2
S-0850_oECA1271_H03_ssu_pcr_2	30	4	ssu_pcr_2
S-0890_oECA1271_B07_ssu_pcr_2	19	3	ssu_pcr_2
S-0669_oECA1271_B03_ssu_pcr_2	20	1	ssu_pcr_2
S-0868_oECA1271_C05_ssu_pcr_2	13	11	ssu_pcr_2
S-0881_oECA1271_C06_ssu_pcr_2	13	9	ssu_pcr_2
S-0715_oECA1271_E02_ssu_pcr_2	21	5	ssu_pcr_2
S-0711_oECA1271_A02_ssu_pcr_2	11	4	ssu_pcr_2
S-0901_oECA1271_G07_ssu_pcr_2	27	1	ssu_pcr_2
S-0914_oECA1271_H08_ssu_pcr_2	13	6	ssu_pcr_2
S-0877_oECA1271_G05_ssu_pcr_2	22	1	ssu_pcr_2
S-0857_oECA1271_D04_ssu_pcr_2	14	0	ssu_pcr_2
S-0680_oECA1271_B01_ssu_pcr_2	18	3	ssu_pcr_2
S-0900_oECA1271_F07_ssu_pcr_2	14	1	ssu_pcr_2
S-0876_oECA1271_F05_ssu_pcr_2	14	10	ssu_pcr_2
S-0880_oECA1271_B06_ssu_pcr_2	18	3	ssu_pcr_2
S-0714_oECA1271_D02_ssu_pcr_2	14	9	ssu_pcr_2
S-0704_oECA1271_G01_ssu_pcr_2	18	8	ssu_pcr_2
S-0902_oECA1271_H07_ssu_pcr_2	10	3	ssu_pcr_2
S-0859_oECA1271_F04_ssu_pcr_2	24	7	ssu_pcr_2
S-0858_oECA1271_E04_ssu_pcr_2	21	2	ssu_pcr_2
S-0862_oECA1271_A05_ssu_pcr_2	12	19	ssu_pcr_2
S-0672_oECA1271_E03_ssu_pcr_2	9	6	ssu_pcr_2
S-0894_oECA1271_E07_ssu_pcr_2	33	2	ssu_pcr_2
S-0916_oECA1271_B09_ssu_pcr_2	24	2	ssu_pcr_2
S-0853_oECA1271_C04_ssu_pcr_2	23	0	ssu_pcr_2
S-0679_oECA1271_A01_ssu_pcr_2	21	3	ssu_pcr_2
S-0906_oECA1271_D08_ssu_pcr_2	24	5	ssu_pcr_2
S-0912_oECA1271_F08_ssu_pcr_2	23	1	ssu_pcr_2
S-0903_oECA1271_A08_ssu_pcr_2	18	1	ssu_pcr_2
S-0913_oECA1271_G08_ssu_pcr_2	16	2	ssu_pcr_2
S-0885_oECA1271_F06_ssu_pcr_2	18	2	ssu_pcr_2
S-0701_oECA1271_D01_ssu_pcr_2	15	1	ssu_pcr_2
S-0879_oECA1271_A06_ssu_pcr_2	9	47	ssu_pcr_2
S-0852_oECA1271_B04_ssu_pcr_2	16	0	ssu_pcr_2
S-0882_oECA1271_D06_ssu_pcr_2	15	4	ssu_pcr_2
S-0720_oECA1271_H02_ssu_pcr_2	17	8	ssu_pcr_2
S-0883_oECA1271_E06_ssu_pcr_2	9	6	ssu_pcr_2
S-0698_oECA1271_C01_ssu_pcr_2	23	2	ssu_pcr_2
S-0844_oECA1271_A03_ssu_pcr_2	22	3	ssu_pcr_2
S-0713_oECA1271_C02_ssu_pcr_2	24	4	ssu_pcr_2
S-0875_oECA1271_E05_ssu_pcr_2	15	0	ssu_pcr_2
S-0874_oECA1271_D05_ssu_pcr_2	6	81	ssu_pcr_2
S-0878_oECA1271_H05_ssu_pcr_2	22	4	ssu_pcr_2
S-0864_oECA1271_B05_ssu_pcr_2	8	5	ssu_pcr_2
S-0649_oECA1271_F09_ssu_pcr_2	26	5	ssu_pcr_2
S-0705_oECA1271_H01_ssu_pcr_2	15	0	ssu_pcr_2
S-0712_oECA1271_B02_ssu_pcr_2	13	28	ssu_pcr_2
S-0697_oECA1271_F03_ssu_pcr_2	14	1	ssu_pcr_2
S-0719_oECA1271_G02_ssu_pcr_2	21	1	ssu_pcr_2
S-0905_oECA1271_C08_ssu_pcr_2	25	6	ssu_pcr_2
S-0904_oECA1271_B08_ssu_pcr_2	26	1	ssu_pcr_2
S-0671_oECA1271_D03_ssu_pcr_2	16	1	ssu_pcr_2
S-0718_oECA1271_F02_ssu_pcr_2	28	3	ssu_pcr_2
S-0670_oECA1271_C03_ssu_pcr_2	14	0	ssu_pcr_2
S-0893_oECA1271_D07_ssu_pcr_2	15	6	ssu_pcr_2
S-0851_oECA1271_A04_ssu_pcr_2	25	0	ssu_pcr_2
S-0860_oECA1271_G04_ssu_pcr_2	26	0	ssu_pcr_2
S-0643_oECA1271_D09_ssu_pcr_2	31	1	ssu_pcr_2
S-0920_oECA1271_C09_ssu_pcr_2	17	9	ssu_pcr_2
S-0886_oECA1271_G06_ssu_pcr_2	20	1	ssu_pcr_2
S-0911_oECA1271_E08_ssu_pcr_2	26	4	ssu_pcr_2
S-0889_oECA1271_A07_ssu_pcr_2	26	5	ssu_pcr_2
S-0915_oECA1271_A09_ssu_pcr_2	31	1	ssu_pcr_2
S-0703_oECA1271_F01_ssu_pcr_2	31	1	ssu_pcr_2
S-0702_oECA1271_E01_ssu_pcr_2	15	1	ssu_pcr_2
