seq	trim_left	trim_right	primer_type
S-0614_oECA1271_ssu_pcr_1	15	24	ssu_pcr_1
S-0641_oECA1271_ssu_pcr_1	3	0	ssu_pcr_1
S-0613_oECA1271_ssu_pcr_1	13	9	ssu_pcr_1
S-0584_oECA1271_ssu_pcr_1	0	6	ssu_pcr_1
S-0606_oECA1271_ssu_pcr_1	12	3	ssu_pcr_1
S-0653_oECA1271_ssu_pcr_1	28	1	ssu_pcr_1
S-0601_oECA1271_ssu_pcr_1	17	21	ssu_pcr_1
S-0654_oECA1271_ssu_pcr_1	25	3	ssu_pcr_1
S-0569_oECA1271_ssu_pcr_1	15	2	ssu_pcr_1
S-0596_oECA1271_ssu_pcr_1	25	3	ssu_pcr_1
S-0591_oECA1271_ssu_pcr_1	23	4	ssu_pcr_1
S-0637_oECA1271_ssu_pcr_1	0	4	ssu_pcr_1
S-0558_oECA1271_ssu_pcr_1	22	5	ssu_pcr_1
S-0485_oECA1271_ssu_pcr_1	27	4	ssu_pcr_1
S-0482_oECA1271_ssu_pcr_1	1	16	ssu_pcr_1
S-0628_oECA1271_ssu_pcr_1	23	6	ssu_pcr_1
S-0512_oECA1271_ssu_pcr_1	17	4	ssu_pcr_1
S-0540_oECA1271_ssu_pcr_1	19	5	ssu_pcr_1
S-0515_oECA1271_ssu_pcr_1	0	7	ssu_pcr_1
S-0555_oECA1271_ssu_pcr_1	11	6	ssu_pcr_1
S-0500_oECA1271_ssu_pcr_1	17	2	ssu_pcr_1
S-0552_oECA1271_ssu_pcr_1	17	26	ssu_pcr_1
S-0659_oECA1271_ssu_pcr_1	32	0	ssu_pcr_1
S-0536_oECA1271_ssu_pcr_1	0	8	ssu_pcr_1
S-0619_oECA1271_ssu_pcr_1	0	4	ssu_pcr_1
S-0576_oECA1271_ssu_pcr_1	0	1	ssu_pcr_1
S-0506_oECA1271_ssu_pcr_1	11	9	ssu_pcr_1
S-0501_oECA1271_ssu_pcr_1	24	15	ssu_pcr_1
S-0554_oECA1271_ssu_pcr_1	14	18	ssu_pcr_1
S-0489_oECA1271_ssu_pcr_1	27	0	ssu_pcr_1
S-0514_oECA1271_ssu_pcr_1	11	1	ssu_pcr_1
S-0513_oECA1271_ssu_pcr_1	32	2	ssu_pcr_1
S-0570_oECA1271_ssu_pcr_1	0	8	ssu_pcr_1
S-0577_oECA1271_ssu_pcr_1	19	10	ssu_pcr_1
S-0658_oECA1271_ssu_pcr_1	0	3	ssu_pcr_1
