seq	trim_left	trim_right	primer_type
S-0614_oECA1271_ssu_pcr_1	25	114	ssu_pcr_1
S-0641_oECA1271_ssu_pcr_1	28	15	ssu_pcr_1
S-0613_oECA1271_ssu_pcr_1	38	12	ssu_pcr_1
S-0584_oECA1271_ssu_pcr_1	0	69	ssu_pcr_1
S-0606_oECA1271_ssu_pcr_1	28	3	ssu_pcr_1
S-0653_oECA1271_ssu_pcr_1	51	15	ssu_pcr_1
S-0601_oECA1271_ssu_pcr_1	32	45	ssu_pcr_1
S-0654_oECA1271_ssu_pcr_1	25	4	ssu_pcr_1
S-0569_oECA1271_ssu_pcr_1	24	4	ssu_pcr_1
S-0596_oECA1271_ssu_pcr_1	31	11	ssu_pcr_1
S-0591_oECA1271_ssu_pcr_1	29	9	ssu_pcr_1
S-0637_oECA1271_ssu_pcr_1	0	22	ssu_pcr_1
S-0558_oECA1271_ssu_pcr_1	38	16	ssu_pcr_1
S-0485_oECA1271_ssu_pcr_1	27	27	ssu_pcr_1
S-0482_oECA1271_ssu_pcr_1	28	16	ssu_pcr_1
S-0628_oECA1271_ssu_pcr_1	30	436	ssu_pcr_1
S-0512_oECA1271_ssu_pcr_1	34	5	ssu_pcr_1
S-0540_oECA1271_ssu_pcr_1	34	27	ssu_pcr_1
S-0515_oECA1271_ssu_pcr_1	0	7	ssu_pcr_1
S-0555_oECA1271_ssu_pcr_1	18	31	ssu_pcr_1
S-0500_oECA1271_ssu_pcr_1	18	9	ssu_pcr_1
S-0552_oECA1271_ssu_pcr_1	19	107	ssu_pcr_1
S-0659_oECA1271_ssu_pcr_1	37	9	ssu_pcr_1
S-0536_oECA1271_ssu_pcr_1	20	45	ssu_pcr_1
S-0619_oECA1271_ssu_pcr_1	0	14	ssu_pcr_1
S-0576_oECA1271_ssu_pcr_1	30	1	ssu_pcr_1
S-0506_oECA1271_ssu_pcr_1	24	59	ssu_pcr_1
S-0501_oECA1271_ssu_pcr_1	25	33	ssu_pcr_1
S-0554_oECA1271_ssu_pcr_1	14	33	ssu_pcr_1
S-0489_oECA1271_ssu_pcr_1	32	0	ssu_pcr_1
S-0514_oECA1271_ssu_pcr_1	26	14	ssu_pcr_1
S-0513_oECA1271_ssu_pcr_1	38	4	ssu_pcr_1
S-0570_oECA1271_ssu_pcr_1	0	153	ssu_pcr_1
S-0577_oECA1271_ssu_pcr_1	36	10	ssu_pcr_1
S-0658_oECA1271_ssu_pcr_1	45	6	ssu_pcr_1
